Location,Latitude,Longitude,Year,Magnitude
 Arunachal Pradesh,27.62,92.25,2023,3.1
 Arunachal Pradesh,28.56,95.91,2023,3.7
 Arunachal Pradesh,27.48,96.15,2023,3.5
 Arunachal Pradesh,27.43,92.34,2023,3.4
 Arunachal Pradesh,27.53,92.15,2023,2.8
 Assam,27.02,92.84,2023,3.2
 Assam,27.17,92.53,2023,3
 Assam,27.19,92.59,2023,4.2
 Assam,27.1,92.59,2023,3.3
 Arunachal Pradesh,27.8,92.67,2023,2.9
 Arunachal Pradesh,27.44,93.27,2023,3.1
 Assam,27.02,92.57,2023,3.2
 Arunachal Pradesh,27.32,92.34,2023,2.6
 Assam,27.2,92.53,2023,2.9
 Arunachal Pradesh,27.44,92.51,2023,3.3
 Arunachal Pradesh,28.98,95.21,2023,3.3
 Assam,27.09,92.56,2023,3.2
 Arunachal Pradesh,27.95,93.97,2023,2.4
 Assam,27.28,92.52,2023,3.2
 Arunachal Pradesh,27.13,92.47,2023,2.8
 Assam,27.11,92.43,2023,3.2
 Assam,29.01,94.59,2023,3.5
 Arunachal Pradesh,27.58,92.39,2023,3.6
 Arunachal Pradesh,27.63,92.43,2023,2.7
 Arunachal Pradesh,27.28,92.65,2023,2.7
 Assam,27.71,94.14,2023,2.8
 Arunachal Pradesh,27.68,94.18,2023,2.7
 Arunachal Pradesh,27.34,92.18,2023,2.5
 Arunachal Pradesh,27.05,92.53,2023,3.1
 Assam,27.23,95.87,2023,2.7
 Arunachal Pradesh,27.25,96.02,2023,2.9
 Arunachal Pradesh,26.91,95.33,2023,3.6
 Assam,27.37,96.98,2023,2.7
 Arunachal Pradesh,27.19,92.22,2023,3.5
,24.88,93.08,2023,5.1
,24.81,93.03,2023,5.1
,26.37,92.93,2023,4.3
,26.37,92.93,2023,4.2
 Assam,26.1,92.72,2023,4
 Assam,26.05,93.01,2023,3.2
 Meghalaya,26.21,90.02,2023,2.9
 Assam,26.36,92.24,2023,2.8
 Meghalaya,26.04,90.11,2023,3.7
 Assam,26.63,92.39,2023,3
 Assam,26.23,91.44,2023,3.2
 Assam,26.54,94.23,2023,3.6
 Assam,26.58,92.18,2023,2.8
 Assam,26.44,93.35,2023,3.3
 Tripura,24.65,92.81,2023,2.7
 Assam,26.63,91.96,2023,3.6
 Tripura,24.53,92.53,2023,3.4
 Assam,26.22,91.54,2023,3.7
 Assam,26.33,93.29,2023,3.3
 Meghalaya,26.16,90.23,2023,2.7
 Assam,26.22,90.98,2023,2.3
 Assam,26.68,92.35,2023,4.4
 Manipur,24.64,92.99,2023,2.4
 Assam,26.6,92.4,2023,3.7
 Assam,26.7,92.32,2023,2.9
 Assam,26.72,92.47,2023,3.6
 Assam,26.68,92.47,2023,3.8
 Nagaland,26.44,93.43,2023,2.8
 Meghalaya,25.03,92.47,2023,2.7
 Tripura,24.93,92.78,2023,2.5
 Tripura,25.09,92.7,2023,2.7
 Tripura,25.06,92.72,2023,2.6
 Assam,26.77,92.42,2023,2.9
 Meghalaya,25.99,92.27,2023,4.4
 Assam,26.32,92.84,2023,2.5
 Meghalaya,26.1,90.02,2023,2.8
 Meghalaya,26.09,89.98,2023,2.8
 Tripura,24.59,92.8,2023,2.1
 Nagaland,26.46,93.62,2023,3.2
 Assam,26.83,92.79,2023,3.8
 Assam,26.11,90.97,2023,3.2
 Tripura,24.76,92.74,2023,4.4
 Assam,25.92,91.03,2023,3.3
 Meghalaya,26.08,90.05,2023,3.1
 Assam,26.2,92.97,2023,3
 Assam,26.63,92.36,2023,2.8
 Meghalaya,26.19,90.37,2023,2.7
 Meghalaya,26.22,90.36,2023,2.7
 Assam,26.36,91.19,2023,3.5
 Meghalaya,26.14,90.48,2023,2.8
 Meghalaya,25.78,91.27,2023,2.9
 Tripura,24.6,92.74,2023,4.1
 Assam,26.67,92.49,2023,2.4
 Assam,26.67,92.44,2023,2.6
 Assam,26.77,92.62,2023,2.7
 Assam,26.48,93.4,2023,2.8
 Assam ,26.49,92.08,2023,3
 Assam,26.85,92.65,2023,2.8
 Assam,26.51,93.19,2023,2.4
 Assam,26.32,92.56,2023,2.6
 Manipur,24.92,93.09,2023,5
 Assam,26.38,92.36,2023,2.8
 Assam,26.63,92.08,2023,3.5
 Assam,26.28,92.89,2023,2.5
 Assam,26.2,91.03,2023,2.5
 Meghalaya,26.15,90.11,2023,3.1
 Assam,26.7,93.22,2023,3.4
 Arunachal Pradesh,26.85,93.26,2023,2.7
,24.58,94.42,2023,4.6
 Manipur,24.83,93.35,2023,3.6
 Manipur,24.67,93.66,2023,3.2
 Manipur,24.96,93.78,2023,2.7
 Manipur,25.29,94.04,2023,3.2
 Manipur,24.23,93.86,2023,3.9
 Manipur,24.88,94.43,2023,3.1
 Manipur,24.84,93.69,2023,3.6
 Manipur,24.22,93.51,2023,3.5
 Manipur,24.67,94.17,2023,2.7
 Manipur,24.61,94.3,2023,2.8
 Manipur,24.68,94.2,2023,2.8
 Manipur,25.15,94.39,2023,3.2
 Manipur,25.47,94.45,2023,2.5
 Nagaland,25.62,94.49,2023,1.7
 Manipur,24.93,94.09,2023,2.7
 Manipur,24.81,94.5,2023,3.2
 Manipur,25.02,94,2023,3.5
 Mizoram,24.47,93.09,2023,2.8
 Manipur,24.29,93.9,2023,2.9
 Manipur,24.9,94.35,2023,3.3
 Manipur,24.21,94.13,2023,2.8
 Manipur,24.99,94.21,2023,3.5
 Manipur,23.97,94.05,2023,4
 Manipur,24.48,94.3,2023,3.3
 Manipur,24.52,94.21,2023,2.6
 Manipur,24.5,93.33,2023,2.7
 Manipur,24.31,94.04,2023,4.1
